plantbarcode,experiment,datetime,jobdate,cameralabel,frameid,frame,parameter,roi,frame_avg,yii_avg,npq_avg,yii_std,npq_std,obj_in_frame,unique_roi,gtype,idate,n_roi,n_uniqueroi
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,17,Fp,t140_ALon,0,35.5532,0.1256,2.0327,0.0557,0.3321,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,17,Fp,t140_ALon,1,27.2362,0.3081,1.0211,0.0495,0.1672,TRUE,TRUE,AP101,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,18,Fmp,t140_ALon,0,40.844,0.1256,2.0327,0.0557,0.3321,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,18,Fmp,t140_ALon,1,39.3735,0.3081,1.0211,0.0495,0.1672,TRUE,TRUE,AP101,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,19,Fp,t160_ALon,0,34.766,0.1355,2.0657,0.0584,0.347,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,19,Fp,t160_ALon,1,25.8623,0.3305,1.0579,0.0519,0.1654,TRUE,TRUE,AP101,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,20,Fmp,t160_ALon,0,40.3617,0.1355,2.0657,0.0584,0.347,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,20,Fmp,t160_ALon,1,38.6641,0.3305,1.0579,0.0519,0.1654,TRUE,TRUE,AP101,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,21,Fp,t180_ALon,0,34.0426,0.1408,2.111,0.0623,0.36,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,21,Fp,t180_ALon,1,24.775,0.3472,1.0939,0.0538,0.1679,TRUE,TRUE,AP101,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,22,Fmp,t180_ALon,0,39.8511,0.1408,2.111,0.0623,0.36,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,22,Fmp,t180_ALon,1,37.9955,0.3472,1.0939,0.0538,0.1679,TRUE,TRUE,AP101,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,23,Fp,t200_ALon,0,33.4397,0.1452,2.1507,0.0613,0.3715,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,23,Fp,t200_ALon,1,23.8119,0.3617,1.1292,0.0559,0.1711,TRUE,TRUE,AP101,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,24,Fmp,t200_ALon,0,39.3191,0.1452,2.1507,0.0613,0.3715,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,24,Fmp,t200_ALon,1,37.3746,0.3617,1.1292,0.0559,0.1711,TRUE,TRUE,AP101,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,25,Fp,t220_ALon,0,32.7518,0.1463,2.2085,0.0635,0.3604,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,25,Fp,t220_ALon,1,23.0709,0.3728,1.1591,0.0574,0.1745,TRUE,TRUE,AP101,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,26,Fmp,t220_ALon,0,38.5957,0.1463,2.2085,0.0635,0.3604,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,26,Fmp,t220_ALon,1,36.8618,0.3728,1.1591,0.0574,0.1745,TRUE,TRUE,AP101,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,27,Fp,t240_ALon,0,32.2624,0.156,2.2179,0.0649,0.3297,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,27,Fp,t240_ALon,1,22.4866,0.3833,1.1781,0.0581,0.1781,TRUE,TRUE,AP101,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,28,Fmp,t240_ALon,0,38.383,0.156,2.2179,0.0649,0.3297,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,28,Fmp,t240_ALon,1,36.554,0.3833,1.1781,0.0581,0.1781,TRUE,TRUE,AP101,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,29,Fp,t260_ALon,0,31.773,0.1546,2.2715,0.0667,0.3359,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,29,Fp,t260_ALon,1,22.0081,0.3931,1.1898,0.0592,0.1793,TRUE,TRUE,AP101,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,30,Fmp,t260_ALon,0,37.8014,0.1546,2.2715,0.0667,0.3359,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,30,Fmp,t260_ALon,1,36.3777,0.3931,1.1898,0.0592,0.1793,TRUE,TRUE,AP101,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,31,Fp,t280_ALon,0,31.5745,0.1497,2.3126,0.0696,0.3551,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,31,Fp,t280_ALon,1,21.598,0.4031,1.1945,0.0595,0.1847,TRUE,TRUE,AP101,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,32,Fmp,t280_ALon,0,37.3759,0.1497,2.3126,0.0696,0.3551,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,32,Fmp,t280_ALon,1,36.3225,0.4031,1.1945,0.0595,0.1847,TRUE,TRUE,AP101,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,33,Fp,t300_ALon,0,31.234,0.157,2.3169,0.0654,0.3541,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,33,Fp,t300_ALon,1,21.2889,0.4116,1.1948,0.06,0.1865,TRUE,TRUE,AP101,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,34,Fmp,t300_ALon,0,37.3191,0.157,2.3169,0.0654,0.3541,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,34,Fmp,t300_ALon,1,36.3299,0.4116,1.1948,0.06,0.1865,TRUE,TRUE,AP101,8,2,2
A3,amiRNA_psII,2020-03-05T20:15:51Z,2020-03-06,PSII0,1,Fo,FvFm,0,18.6497,0.8249,0,0.0195,0,TRUE,TRUE,AP32,8,2,2
A3,amiRNA_psII,2020-03-05T20:15:51Z,2020-03-06,PSII0,1,Fo,FvFm,1,17.1816,0.8285,0,0.0198,0,TRUE,TRUE,AP83,8,2,2
A3,amiRNA_psII,2020-03-05T20:15:51Z,2020-03-06,PSII0,2,Fm,FvFm,0,106.6392,0.8249,0,0.0195,0,TRUE,TRUE,AP32,8,2,2
